sample,row,col,genotype
t4_p3_A2,A,1,F2_D1
t4_p3_B2,B,1,F2_D2
t4_p3_C2,C,1,F2_D2
t4_p3_D2,D,1,F2_D2
t4_p3_E2,E,1,F1_D2
t4_p3_F2,F,1,F2_D2
t4_p3_G2,G,1,F2_D2
t4_p3_H2,H,1,F2_D2
t4_p4_A6,A,2,F2_D1
t4_p4_B6,B,2,F2_D1
t4_p4_C6,C,2,F2_D2
t4_p4_D6,D,2,F2_D2
t4_p4_E6,E,2,F2_D1
t4_p4_F6,F,2,F2_D1
t4_p4_G6,G,2,F2_D2
t4_p4_H6,H,2,P_6191
t4_p3_A12,A,3,F2_D2
t4_p3_B12,B,3,F2_D2
t4_p3_C12,C,3,F2_D2
t4_p3_D12,D,3,F2_D2
t4_p3_E12,E,3,P_6046
t4_p3_F12,F,3,F2_D1
t4_p3_G12,G,3,F2_D1
t4_p3_H12,H,3,F2_D1
t4_p1_A10,A,4,F2_D1
t4_p1_B10,B,4,F2_D2
t4_p1_C10,C,4,F2_D2
t4_p1_D10,D,4,F2_D1
t4_p1_E10,E,4,F2_D1
t4_p1_F10,F,4,F2_D2
t4_p1_G10,G,4,F2_D2
t4_p1_H10,H,4,F2_D2
t16_p4_A7,A,5,F2_D2
t16_p4_B7,B,5,F2_D1
t16_p4_C7,C,5,F2_D2
t16_p4_D7,D,5,F2_D2
t16_p4_E7,E,5,F2_D1
t16_p4_F7,F,5,F2_D1
t16_p4_G7,G,5,P_6046
t16_p4_H7,H,5,F2_D1
t16_p4_A5,A,6,F2_D1
t16_p4_B5,B,6,F2_D1
t16_p4_C5,C,6,F2_D1
t16_p4_D5,D,6,F2_D1
t16_p4_E5,E,6,F2_D1
t16_p4_F5,F,6,F2_D2
t16_p4_G5,G,6,F2_D2
t16_p4_H5,H,6,P_6046
t4_p1_A6,A,7,F2_D2
t4_p1_B6,B,7,F2_D2
t4_p1_C6,C,7,F2_D1
t4_p1_D6,D,7,F2_D1
t4_p1_E6,E,7,P_6191
t4_p1_F6,F,7,F2_D2
t4_p1_G6,G,7,F2_D2
t4_p1_H6,H,7,F2_D1
t4_p4_A8,A,8,F2_D1
t4_p4_B8,B,8,F2_D2
t4_p4_C8,C,8,F2_D2
t4_p4_D8,D,8,F2_D2
t4_p4_E8,E,8,F2_D2
t4_p4_F8,F,8,P_6191
t4_p4_G8,G,8,P_6191
t4_p4_H8,H,8,F2_D2
t4_p1_A3,A,9,F2_D2
t4_p1_B3,B,9,F2_D2
t4_p1_C3,C,9,F2_D1
t4_p1_D3,D,9,F2_D2
t4_p1_E3,E,9,F2_D2
t4_p1_F3,F,9,F2_D2
t4_p1_G3,G,9,F2_D1
t4_p1_H3,H,9,F2_D1
t16_p4_A2,A,10,F2_D1
t16_p4_B2,B,10,F2_D1
t16_p4_C2,C,10,F2_D1
t16_p4_D2,D,10,F2_D1
t16_p4_E2,E,10,F2_D2
t16_p4_F2,F,10,P_6191
t16_p4_G2,G,10,F2_D1
t16_p4_H2,H,10,F2_D2
t16_p5_A4,A,11,F2_D1
t16_p5_B4,B,11,F2_D2
t16_p5_C4,C,11,P_6046
t16_p5_D4,D,11,F2_D1
t16_p5_E4,E,11,F2_D2
t16_p5_F4,F,11,F2_D2
t16_p5_G4,G,11,F2_D1
t16_p5_H4,H,11,F2_D1
t16_p5_A10,A,12,P_6191
t16_p5_B10,B,12,F2_D2
t16_p5_C10,C,12,F2_D1
t16_p5_D10,D,12,F2_D2
t16_p5_E10,E,12,F2_D1
t16_p5_F10,F,12,F2_D1
t16_p5_G10,G,12,F2_D2
t16_p5_H10,H,12,F2_D1
